Employee Code,Gender,Location,Designation,Qualification,Married,Age,Left,Reason,No of Yrs in Org,Total yrs of Exp,Sourcing Channel,Avg rating last 2yrs,Avg rating this yrs,No of Promotions,Satisfaction compensation,Satisfaction benefits,Satisfaction work life balance,Satisfaction learning opportunity,Satisfaction,Hygiene seating arrangement,Hygiene egronomics,Hygiene infrastructure,Sentiment existing processes,Sentiment recently launched policies,Team performanc goal orientation,Team performanc timely delivery,Team performanc managers interpersonal issues ,Transparency channels of feedback,Transparency communication across peers,Transparency communiction with superior,Transparency newly rolled out process,Challenging organizational environment,Curiosity or Skill-will,Control,Competitive  organizational environment,Appropriate recognition,Co-operative environment,Engagement score external,Engagement score Internal,Engagement,Retention case,Avoidable vs Unavoidable (attrition),Rehire in future,Sentiment towards org
E207,Female,NCR,RM3,PGDM/MBA_Mkt,NO,23,0,Better Prospects,2.3,11.2,Reference,4.1,NA,0,2,4,5,4,3.8,3,4,4,2,4,3,4,1,2,4,5,3,4,1,3,5,4,5,3.40,3.67,3.53,YES,UA,,3
E208,Female,Mumbai,RM2,PGDM/MBA_Mkt,NO,27,0,Better Prospects,1.7,6.2,Walk in,NJ-15,NA,0,4,4,1,3,3.0,2,2,4,2,3,5,4,2,3,4,3,5,4,3,3,4,5,4,3.18,3.83,3.50,NO,NA,NO,2
E209,Female,Mumbai,RM3,PGDM/MBA_Mkt,YES,27,1,,2.2,10.5,IJP,4.0,3.65,0,4,4,4,4,4.0,3,4,4,3,2,3,4,2,2,3,2,4,4,2,4,3,5,5,3.29,3.83,3.56,,,,
E210,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,27,0,Better Prospects,0.9,2.9,Reference,NJ-16,NJ-16,0,3,4,3,4,3.4,2,2,4,2,4,2,4,4,4,5,3,2,4,4,5,5,4,2,3.24,4.00,3.62,NO,NA,NO,2
E211,Female,Chennai,RM1,PGDM/MBA_Mkt,NO,29,0,Better Prospects,0.1,1.7,IJP,NJ-16,NJ-16,0,3,5,1,2,2.7,4,1,5,4,5,2,4,2,2,4,2,3,4,2,2,5,4,4,3.02,3.50,3.26,NO,NA,NO,3
E212,Male,NCR,RM2,PGDM/MBA_Mkt,NO,29,0,Better Prospects,0.5,5.9,Agency,NJ-16,NJ-16,0,3,4,1,3,2.8,2,3,4,2,2,1,5,2,2,5,3,2,4,1,1,4,5,2,2.75,2.83,2.79,NO,NA,NO,1
E213,Female,Bangalore,RM1,BCOM,NO,25,0,Location,0.3,2,IJP,NJ-16,NJ-16,0,3,5,3,4,3.8,4,3,5,5,5,1,4,2,2,3,2,2,4,5,4,4,5,1,3.34,3.83,3.59,NO,NA,NO,3
E214,Male,Mumbai,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,2.7,5,Online,4.2,NA,0,3,4,4,4,3.8,4,2,4,5,4,1,4,1,5,3,2,4,5,2,1,4,5,5,3.40,3.67,3.53,NO,NA,NO,2
E215,Male,Bangalore,RM4,PGDM/MBA_Mkt,NO,29,1,,1.9,21,Campus,NJ-15,3.89,0,4,5,4,4,4.3,1,4,4,4,3,4,5,4,5,4,4,2,4,2,3,4,5,5,3.84,3.83,3.84,,,,
E216,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,28,0,Better Prospects,3.1,4,Agency,4.2,NA,0,4,4,2,5,3.8,5,4,4,4,4,4,4,4,4,4,5,2,3,4,4,4,5,1,3.93,3.50,3.71,YES,A,,3
E217,Female,NCR,RM3,PGDM/MBA_Mkt,NO,34,0,Higher Education,2.7,10.6,Reference,3.9,NA,0,2,4,2,2,2.5,5,3,4,4,5,3,5,4,4,4,2,1,3,2,2,4,3,5,3.32,3.17,3.25,NO,NA,NO,3
E218,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,23,1,,2.6,4,Online,4.0,4.07,0,4,5,4,5,4.5,1,4,4,4,4,1,4,5,5,4,2,1,4,4,4,4,2,5,3.62,3.83,3.73,,,,
E219,Male,Mumbai,RM5,PGDM/MBA_Mkt,NO,24,1,,2,32.7,Walk in,4.1,4.17,0,4,4,4,4,4.0,4,4,4,4,4,5,4,5,4,4,2,4,3,4,1,5,4,4,4.00,3.50,3.75,,,,
E220,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,27,1,,2.4,4.3,Walk in,4.2,3.98,0,5,5,2,4,4.0,4,5,5,4,4,2,4,4,4,4,4,3,5,4,4,4,4,5,3.94,4.33,4.14,,,,
E221,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,24,0,Better Prospects,3,3.7,IJP,3.2,NA,0,5,4,2,4,3.8,5,5,3,4,3,4,4,3,4,4,3,3,5,3,2,3,4,5,3.75,3.67,3.71,NO,NA,NO,2
E222,Female,Bangalore,RM3,PGDM/MBA_Mkt,NO,22,1,,3.1,12.7,Reference,3.8,4.50,0,4,4,5,5,4.5,4,4,5,5,4,5,4,5,4,3,5,4,5,4,5,3,4,5,4.38,4.33,4.36,,,,
E223,Female,Mumbai,RM1,PGDM/MBA_Mkt,NO,32,0,Personal,2.5,4.9,Online,3.9,NA,0,2,4,4,1,2.8,4,3,5,3,4,3,4,4,4,4,4,4,4,3,3,5,1,4,3.51,3.33,3.42,NO,NA,NO,4
E224,Female,NCR,RM2,PGDM/MBA_Mkt,NO,28,1,,2.8,5.1,Online,4.1,3.56,0,3,4,4,5,4.0,1,3,4,4,4,4,5,3,5,5,4,4,4,4,1,4,4,4,3.88,3.50,3.69,,,,
E225,Female,NCR,RM3,PGDM/MBA_Mkt,YES,35,0,Better Prospects,3.2,13.2,Reference,3.8,NA,0,3,4,2,3,3.0,5,4,5,4,4,1,4,4,2,4,3,2,5,4,1,5,2,2,3.35,3.17,3.26,NO,NA,NO,4
E226,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,34,1,,1.5,3.1,Agency,NJ-15,3.57,0,4,4,4,4,4.0,5,4,5,4,4,1,4,3,5,3,4,3,5,4,4,4,4,4,3.82,4.17,4.00,,,,
E227,Female,NCR,RM4,PGDM/MBA_Mkt,YES,31,1,,1.9,20.6,Reference,NJ-15,4.00,0,4,4,4,5,4.3,3,4,4,3,2,2,4,2,1,5,5,3,4,3,4,5,2,4,3.49,3.67,3.58,,,,
E228,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,28,0,Personal,1.1,6,Reference,NJ-15,NA,0,4,5,2,3,3.5,5,4,4,2,2,1,4,4,3,5,4,4,5,2,4,3,5,4,3.50,3.83,3.67,NO,NA,NO,2
E229,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,30,0,Better Prospects,1,2.6,Walk in,NJ-15,NA,0,5,4,4,4,4.3,2,2,5,1,4,4,4,2,3,5,4,4,5,2,4,3,3,5,3.60,3.67,3.63,NO,NA,NO,3
E230,Male,Mumbai,RM2,MBA(Tier 1) ,NO,24,0,Better Prospects,1.4,1.4,Walk in,NJ-15,NA,0,2,4,3,3,3.0,2,2,4,5,3,2,4,4,2,5,1,5,4,2,3,4,2,4,3.18,3.17,3.17,NO,NA,NO,2
E231,Male,Chennai,RM5,PGDM/MBA_Mkt,NO,23,1,,3.4,31.8,Online,4.1,3.98,0,4,4,4,4,4.0,5,4,5,4,4,2,5,1,3,5,3,5,4,3,3,4,4,5,3.88,3.83,3.86,,,,
E232,Female,Mumbai,RM1,PGDM/MBA_Mkt,YES,29,0,Job Environment ,2.5,4.1,Online,4.0,NA,0,4,5,4,4,4.3,4,4,5,2,1,3,4,5,4,5,3,5,5,3,4,4,4,3,3.90,3.83,3.87,NO,NA,NO,1
E233,Female,Mumbai,RM3,PGDM/MBA_Mkt,YES,25,0,Location,2.8,12.5,Agency,4.3,NA,0,2,4,4,2,3.0,4,5,4,4,3,4,4,2,4,5,2,3,5,3,3,4,4,4,3.47,3.83,3.65,YES,UA,,3
E234,Male,Mumbai,RM1,PGDM/MBA_Mkt,NO,25,0,Involuntary,2.4,4.4,Campus,4.3,NA,0,1,5,5,4,3.8,2,3,5,4,1,2,5,3,3,5,4,5,4,3,2,4,4,5,3.57,3.67,3.62,NO,NA,NO,3
E235,Male,Chennai,RM3,PGDM/MBA_Mkt,NO,27,0,Higher Education,3.1,10.6,Walk in,3.9,NA,0,4,4,4,4,4.0,3,4,5,2,4,1,5,1,3,4,1,4,5,3,2,4,1,4,3.35,3.17,3.26,NO,NA,NO,3
E236,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,23,0,Higher Education,2.9,5.2,Online,4.3,NA,0,1,4,4,2,2.8,5,2,4,4,2,4,4,4,4,4,3,5,5,4,1,4,2,4,3.46,3.33,3.39,NO,NA,NO,3
E237,Female,Bangalore,RM1,BBA,YES,30,0,Job Environment ,2.7,2.7,Reference,3.7,NA,0,5,4,3,5,4.3,4,5,4,4,3,1,5,1,4,3,2,4,5,2,4,4,1,4,3.60,3.33,3.47,NO,NA,NO,3
E238,Male,NCR,RM1,PGDM/MBA_Mkt,YES,25,0,Higher Education,2,3.8,Reference,4.1,NA,0,4,4,4,4,4.0,5,4,5,4,1,3,5,3,4,4,4,4,5,1,2,4,1,5,3.88,3.00,3.44,NO,NA,NO,3
E239,Male,Mumbai,RM2,PGDM/MBA_Mkt,NO,24,1,,3.4,6.2,Reference,3.4,3.56,0,2,4,4,5,3.8,4,3,4,2,4,1,4,1,1,3,5,4,5,2,5,3,4,4,3.22,3.83,3.53,,,,
E240,Female,NCR,RM3,PGDM/MBA_Mkt,NO,24,0,Better Prospects,0,13.2,IJP,NJ-16,NJ-16,0,3,4,5,4,4.0,2,3,4,4,2,5,5,2,5,5,2,2,4,5,4,4,3,1,3.59,3.50,3.54,NO,NA,NO,4
E241,Female,NCR,RM1,PGDM/MBA_Mkt,NO,25,1,,1.6,4.1,Campus,NJ-15,4.50,0,4,4,5,5,4.5,4,2,4,4,5,5,4,3,3,5,4,3,5,5,2,5,3,5,4.03,4.17,4.10,,,,
E242,Female,Bangalore,RM5,PGDM/MBA_Mkt,YES,27,1,,2.7,28.8,IJP,4.2,4.61,0,4,3,5,4,4.0,5,1,4,4,2,5,5,3,5,5,4,1,5,5,4,4,2,5,3.76,4.17,3.97,,,,
E243,Male,NCR,RM2,MBA(Tier 1) ,NO,23,0,Better Prospects,0,0,Agency,NJ-16,NJ-16,0,3,5,4,4,4.0,4,3,4,3,2,2,4,2,4,4,2,2,5,4,3,3,3,4,3.29,3.67,3.48,NO,NA,NO,2
E244,Male,NCR,RM2,PGDM/MBA_Mkt,NO,24,0,Job Environment ,2.9,6,Online,4.2,3.61,0,4,5,4,2,3.8,4,2,4,3,4,1,4,2,3,4,5,4,5,2,2,5,4,4,3.46,3.67,3.56,YES,A,,2
E245,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,24,0,Higher Education,3.8,3.8,Reference,3.4,NA,0,1,5,4,3,3.3,1,4,4,3,2,3,4,2,2,5,2,2,4,2,2,5,4,4,2.96,3.50,3.23,NO,NA,NO,3
E246,Male,NCR,RM3,PGDM/MBA_Mkt,YES,30,0,Better Prospects,3.2,13.6,Reference,4.1,NA,0,4,4,2,4,3.5,3,2,4,4,2,2,4,2,4,5,4,5,5,3,1,5,4,4,3.44,3.67,3.55,YES,UA,,3
E247,Male,NCR,RM1,PGDM/MBA_Mkt,NO,27,0,Higher Education,2.6,3,Reference,4.0,NA,0,3,5,2,5,3.8,4,4,4,1,4,5,4,1,5,5,2,2,4,2,1,5,4,1,3.51,2.83,3.17,NO,NA,NO,3
E248,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,25,0,Better Prospects,3.1,5.7,Online,4.0,NA,0,3,5,4,2,3.5,3,3,4,5,2,3,4,3,2,3,2,3,4,4,2,5,4,4,3.21,3.83,3.52,NO,NA,NO,3
E249,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,29,0,Absconding,2.5,4.9,Agency,4.0,NA,0,2,4,5,1,3.0,3,5,4,2,5,4,4,2,1,5,3,2,4,3,2,5,2,4,3.24,3.33,3.28,NO,NA,NO,2
E250,Male,Bangalore,RM4,PGDM/MBA_Mkt,NO,25,1,,2.8,22.2,IJP,3.8,3.37,0,4,5,1,3,3.3,3,5,4,4,4,4,4,5,4,3,5,4,5,4,3,5,5,4,3.82,4.33,4.08,,,,
E251,Male,NCR,RM1,BBA,NO,25,1,,3.2,3.8,Reference,4.1,3.65,0,5,4,5,4,4.5,4,4,3,4,4,1,4,5,4,4,4,4,5,4,4,5,2,4,3.97,4.00,3.99,,,,
E252,Female,Mumbai,RM2,MBA(Tier 1) ,NO,28,1,,1.8,1.5,Agency,NJ-15,4.80,0,5,5,5,4,4.8,4,3,4,5,1,4,4,5,2,4,4,4,3,4,3,5,3,4,3.99,3.67,3.83,,,,
E253,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,23,0,Absconding,1.9,11.7,IJP,NJ-15,NA,0,5,4,5,1,3.8,4,3,4,4,3,4,3,5,2,4,4,4,4,4,4,5,3,4,3.71,4.00,3.86,NO,NA,NO,1
E254,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,32,0,Better Prospects,1.1,2,Online,NJ-15,NA,0,5,5,3,2,3.8,1,4,4,4,4,3,4,3,4,4,4,4,5,5,4,5,3,4,3.61,4.33,3.97,NO,NA,NO,3
E255,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,24,0,Involuntary,1,6,IJP,NJ-15,NA,0,5,4,4,3,4.0,5,4,4,4,1,1,4,3,3,4,4,4,4,3,4,5,2,4,3.59,3.67,3.63,NO,NA,NO,2
E256,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,25,0,Better Prospects,1.4,5.9,Online,NJ-15,NA,0,5,4,2,1,3.0,3,5,5,4,4,2,4,4,4,5,3,3,5,4,5,5,3,4,3.57,4.33,3.95,YES,A,,3
E257,Male,Mumbai,RM1,PGDM/MBA_Mkt,NO,27,1,,3.4,4.5,Reference,4.2,4.50,0,3,5,5,5,4.5,5,4,4,4,5,3,4,4,4,5,5,3,4,3,3,5,2,4,4.26,3.50,3.88,,,,
E258,Male,Bangalore,RM3,PGDM/MBA_Mkt,YES,27,1,,2.5,9.8,Online,4.3,4.17,0,5,4,4,4,4.3,4,3,3,5,4,4,4,3,2,5,4,4,5,5,4,4,4,5,3.87,4.50,4.18,,,,
E259,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,29,0,Higher Education,2.8,3,Online,4.2,NA,0,4,5,2,5,4.0,4,4,5,4,2,4,4,4,4,5,4,4,4,4,4,4,3,4,4.00,3.83,3.92,YES,A,,1
E260,Male,Chennai,RM1,PGDM/MBA_Mkt,YES,29,1,,2.4,3,Reference,3.9,4.07,0,1,4,4,2,2.8,4,5,4,3,5,4,5,4,4,4,4,4,4,5,4,4,3,4,3.75,4.00,3.88,,,,
E261,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,25,0,Personal,3.1,11.5,Campus,3.8,NA,0,2,5,2,3,3.0,4,4,4,3,2,4,4,4,3,5,1,1,4,4,2,4,3,3,3.20,3.33,3.26,NO,NA,NO,4
E262,Male,NCR,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,0.7,3.2,Reference,NJ-16,NJ-16,0,3,5,3,4,3.8,4,4,4,4,1,4,4,5,1,3,5,5,4,5,3,4,5,3,3.65,4.00,3.83,NO,NA,NO,1
E263,Female,Mumbai,RM2,MBA(Tier 1) ,YES,28,1,,0,0,Reference,NJ-16,NJ-16,0,5,4,4,2,3.8,4,4,5,4,1,2,5,4,4,3,4,3,4,3,5,4,4,4,3.59,4.00,3.80,,,,4
E264,Male,Chennai,RM3,PGDM/MBA_Mkt,NO,24,1,,2.9,9.6,Walk in,4.0,3.65,0,5,4,4,3,4.0,4,3,4,3,4,5,4,4,3,5,5,5,4,5,3,4,4,4,4.08,4.00,4.04,,,,4
E265,Female,Bangalore,RM4,PGDM/MBA_Mkt,YES,32,1,,0.9,21.8,Online,NJ-16,NJ-16,0,5,4,4,2,3.8,3,4,4,4,4,3,5,3,5,4,4,4,4,5,4,3,5,4,3.87,4.17,4.02,,,,2
E266,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,28,0,Better Prospects,0.2,3.2,Campus,NJ-16,NJ-16,0,5,4,4,1,3.5,3,4,5,3,3,2,5,4,4,4,3,3,5,4,3,4,4,5,3.58,4.17,3.87,NO,NA,NO,4
E267,Male,Chennai,RM1,BCOM,NO,30,1,,1.6,1.8,Reference,NJ-15,3.61,0,4,4,4,3,3.8,4,4,4,4,3,4,4,4,4,4,3,2,4,4,2,5,4,4,3.69,3.83,3.76,,,,3
E268,Male,NCR,RM3,PGDM/MBA_Mkt,NO,24,0,Personal,5.2,9.2,Campus,4.3,NA,2,4,4,4,3,3.8,4,4,4,4,1,2,4,2,1,5,4,4,4,4,1,3,4,4,3.38,3.33,3.36,NO,NA,NO,3
E269,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,22,1,,3,3,Walk in,4.0,3.87,0,5,4,4,5,4.5,4,4,4,4,4,2,5,2,3,5,4,4,4,5,4,5,4,5,3.97,4.50,4.24,,,,3
E270,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,24,0,Better Prospects,2.5,6.7,Online,4.0,NA,0,4,4,5,4,4.3,1,3,4,4,4,2,4,4,4,4,2,4,4,2,5,3,4,4,3.58,3.67,3.63,NO,NA,NO,4
E271,Male,NCR,RM5,PGDM/MBA_Mkt,YES,38,1,,4.2,27.9,Walk in,3.7,3.98,2,5,4,5,4,4.5,2,3,4,4,2,3,5,2,2,3,4,4,4,5,4,4,5,4,3.57,4.33,3.95,,,,2
E272,Female,NCR,RM5,PGDM/MBA_Mkt,NO,29,1,,3.9,31.7,Reference,4.1,4.17,0,4,5,5,4,4.5,3,4,4,4,2,2,5,4,4,5,4,4,4,4,4,4,4,4,3.97,4.00,3.99,,,,2
E273,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,26,1,,0,2,IJP,NJ-16,NJ-16,0,1,5,4,5,3.8,1,4,5,4,4,4,4,4,1,5,5,5,4,4,3,3,5,4,3.79,3.83,3.81,,,,2
E274,Female,Bangalore,RM1,BBA,YES,35,1,,2.3,3.9,Online,4.1,3.87,0,5,4,5,1,3.8,2,4,4,4,3,3,5,4,4,5,5,5,4,4,3,5,1,4,3.93,3.50,3.71,,,,2
E275,Male,Mumbai,RM2,PGDM/MBA_Mkt,NO,25,1,,3.2,5.1,Reference,4.2,3.98,0,5,4,5,5,4.8,4,5,4,3,4,2,4,3,2,4,4,4,5,5,4,5,5,4,3.93,4.67,4.30,,,,3
E276,Female,Bangalore,RM3,PGDM/MBA_Mkt,YES,29,0,Better Prospects,3.8,12,IJP,3.6,NA,0,2,4,1,4,2.8,5,5,5,4,4,1,4,4,2,3,2,2,5,1,2,5,1,3,3.22,2.83,3.03,NO,NA,NO,2
E277,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,28,0,Location,2.2,3.2,Online,3.8,NA,0,5,4,2,4,3.8,2,4,3,4,4,4,4,3,3,5,3,3,4,5,4,5,2,4,3.56,4.00,3.78,NO,NA,NO,3
E278,Male,NCR,RM1,PGDM/MBA_Mkt,NO,28,0,Better Prospects,1.2,3.4,IJP,NJ-15,NA,0,4,4,2,4,3.5,3,5,4,5,4,3,4,4,1,5,4,4,4,5,1,4,2,4,3.72,3.33,3.52,NO,NA,NO,1
E279,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,30,1,,4.2,3.1,IJP,4.1,3.61,1,4,5,3,5,4.3,4,5,3,4,4,4,4,4,1,4,4,4,4,4,5,4,4,4,3.90,4.17,4.03,,,,2
E280,Female,Mumbai,RM3,PGDM/MBA_Mkt,NO,27,0,Better Prospects,1.9,9,Online,NJ-15,NA,0,5,4,4,5,4.5,2,5,5,4,4,4,4,4,4,4,2,2,4,5,3,4,3,4,3.91,3.83,3.87,NO,NA,NO,2
E281,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,32,1,,1.1,2.7,Online,NJ-15,3.98,0,3,4,4,4,3.8,3,3,5,5,3,2,4,5,4,4,5,5,4,5,5,4,4,4,3.90,4.33,4.12,,,,2
E282,Female,NCR,RM4,PGDM/MBA_Mkt,YES,39,1,,5.6,19.6,IJP,4.3,3.43,2,4,4,2,4,3.5,2,5,5,4,1,3,4,3,2,4,4,4,4,5,3,4,4,4,3.44,4.00,3.72,,,,3
E283,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,24,0,Better Prospects,1.6,4,IJP,NJ-15,NA,0,3,4,4,5,4.0,1,1,4,4,4,4,4,4,3,4,2,1,4,3,5,4,2,4,3.31,3.67,3.49,NO,NA,NO,2
E284,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,23,1,,1.7,5.1,IJP,NJ-15,3.56,0,2,4,4,5,3.8,3,5,4,5,2,4,4,2,4,4,4,4,4,4,1,4,4,4,3.72,3.50,3.61,,,,2
E285,Female,Mumbai,RM5,PGDM/MBA_Mkt,NO,29,1,,6.9,34,IJP,4.3,3.98,1,2,4,5,5,4.0,3,1,4,4,1,1,4,4,4,5,4,2,5,2,2,5,2,4,3.33,3.33,3.33,,,,3
E286,Male,Bangalore,RM1,PGDM/MBA_Mkt,YES,25,0,Better Prospects,0.3,3,Reference,NJ-16,NJ-16,0,1,5,3,5,3.5,5,2,5,3,4,4,5,4,1,3,3,4,4,4,3,5,4,4,3.56,4.00,3.78,NO,NA,NO,1
E287,Female,Chennai ,RM2,PGDM/MBA_Mkt,NO,25,0,Personal,2.8,4.2,IJP,4.1,NA,0,5,4,2,5,4.0,4,1,5,4,4,3,5,4,5,5,3,3,5,4,4,5,1,4,3.86,3.83,3.85,NO,NA,NO,3
E288,Female,NCR,RM1,PGDM/MBA_Mkt,YES,27,0,Location,0.7,3.6,Reference,NJ-16,NJ-16,0,1,4,4,3,3.0,4,4,4,4,4,5,4,3,2,4,4,4,4,4,3,3,3,4,3.59,3.50,3.54,NO,NA,NO,2
E289,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,23,0,Higher Education,2.2,4.9,Online,3.7,NA,0,5,5,4,2,4.0,4,2,5,4,4,4,5,4,4,5,3,3,5,4,2,5,1,4,3.94,3.50,3.72,NO,NA,NO,3
E290,Male,Mumbai,RM3,PGDM/MBA_Mkt,NO,30,1,,2.7,10.4,Reference,4.0,3.65,0,4,5,5,4,4.5,5,3,4,4,1,4,5,2,3,4,5,5,4,5,1,4,4,4,3.95,3.67,3.81,,,,3
E291,Male,Mumbai,RM1,PGDM/MBA_Mkt,YES,25,1,,2.5,5,IJP,3.7,4.58,0,4,4,4,4,4.0,1,5,5,4,3,4,4,3,4,5,4,4,4,5,4,5,4,5,3.86,4.50,4.18,,,,2
E292,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,24,1,,1.9,2.9,Walk in,NJ-15,3.86,0,4,3,5,4,4.0,5,5,5,4,4,3,4,3,4,3,4,4,4,4,2,4,3,4,4.00,3.50,3.75,,,,4
E293,Female,NCR,RM3,PGDM/MBA_Mkt,YES,24,1,,4.2,12.3,IJP,4.2,NA,1,5,3,4,4,4.0,4,5,5,4,3,4,5,4,4,3,4,4,4,5,1,5,4,2,4.06,3.50,3.78,,,,4
E294,Female,NCR,RM1,PGDM/MBA_Mkt,NO,25,0,Personal,3,3,Reference,3.5,NA,0,5,5,3,1,3.5,4,5,5,4,2,1,4,4,4,4,4,4,4,4,4,3,5,4,3.68,4.00,3.84,NO,NA,NO,2
E295,Female,NCR,RM1,PGDM/MBA_Mkt,NO,27,1,,3,4.6,Reference,4.2,3.87,0,4,5,5,4,4.5,4,3,5,4,1,4,5,4,4,4,5,5,4,5,2,5,2,4,4.13,3.67,3.90,,,,3
E296,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,24,1,,1.7,20.3,Reference,NJ-15,4.00,0,5,4,4,4,4.3,5,3,5,4,3,5,4,3,4,4,2,2,4,4,5,5,2,4,3.84,4.00,3.92,,,,2
E297,Female,Chennai ,RM2,PGDM/MBA_Mkt,NO,24,1,,0,3.6,Online,NJ-16,NJ-16,0,5,5,5,4,4.8,5,4,4,4,5,4,5,3,3,4,5,5,5,5,2,5,2,4,4.38,3.83,4.11,,,,1
E298,Female,Bangalore,RM1,PGDM/MBA_Mkt,NO,24,0,Personal,0.3,2.8,Online,NJ-16,NJ-16,0,5,4,4,2,3.8,4,4,5,4,2,2,4,5,5,4,4,4,4,5,2,3,1,4,3.89,3.17,3.53,NO,NA,NO,3
E299,Female,Bangalore,RM3,PGDM/MBA_Mkt,NO,30,1,,4.2,10.9,Online,4.2,3.65,1,3,5,5,5,4.5,4,3,4,4,3,5,4,2,4,4,5,4,4,5,1,4,3,4,4.03,3.50,3.76,,,,
E300,Male,Mumbai,RM1,PGDM/MBA_Mkt,NO,27,0,Better Prospects,2.3,4.5,Online,4.2,NA,0,5,5,3,3,4.0,5,4,4,4,4,2,4,3,3,4,1,1,4,4,3,4,1,4,3.45,3.33,3.39,NO,NA,NO,4
E301,Female,NCR,RM1,PGDM/MBA_Mkt,NO,25,0,Absconding,1.6,4,Reference,NJ-15,NA,0,1,4,5,2,3.0,5,4,5,3,2,1,4,4,1,3,5,5,5,5,2,4,3,4,3.35,3.83,3.59,NO,NA,NO,1
E302,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,29,0,Personal,1.8,5.4,IJP,NJ-15,NA,0,5,4,2,4,3.8,5,4,5,4,3,1,4,3,4,4,4,4,5,4,4,4,2,4,3.74,3.83,3.79,NO,NA,NO,4
E303,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,25,0,Job Environment ,0.7,3.9,IJP,NJ-16,NJ-16,0,1,5,1,4,2.8,5,5,4,5,2,4,5,1,4,4,4,4,4,4,2,4,2,3,3.54,3.17,3.36,NO,NA,NO,4
E304,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,25,1,,0.2,13,Walk in,NJ-16,NJ-16,0,2,4,4,4,3.5,5,4,5,4,2,4,4,4,4,3,1,1,4,2,3,5,4,4,3.46,3.67,3.56,,,,2
E305,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,28,0,Location,1.6,3.9,IJP,NJ-15,NA,0,1,4,2,4,2.8,4,5,5,4,4,4,4,3,5,5,2,3,3,1,1,5,2,4,3.65,2.67,3.16,NO,NA,NO,4
E306,Female,Chennai,RM1,PGDM/MBA_Mkt,NO,23,0,Absconding,3,3,Reference,4.1,NA,0,4,5,2,1,3.0,2,3,4,4,5,3,5,2,2,5,3,3,5,4,4,4,5,4,3.31,4.33,3.82,NO,NA,NO,3
E307,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,32,0,Higher Education,0,12.7,Reference,NJ-16,NJ-16,0,2,4,2,4,3.0,4,2,4,4,2,1,4,4,3,5,4,4,3,4,2,5,3,4,3.29,3.50,3.40,NO,NA,NO,3
E308,Female,Mumbai,RM4,PGDM/MBA_Mkt,YES,24,0,Higher Education,2.3,19.7,Reference,3.9,NA,0,4,3,3,4,3.5,4,4,4,4,2,4,5,2,4,5,4,4,5,4,3,4,3,1,3.74,3.33,3.53,YES,UA,,3
E309,Male,Bangalore,RM1,BBA,YES,25,0,Personal,0,2.9,Agency,NJ-16,NJ-16,0,5,3,3,4,3.8,4,1,4,5,5,4,4,5,3,5,4,4,5,4,1,5,2,3,3.90,3.33,3.62,NO,NA,NO,4
E310,Female,NCR,RM2,MBA(Tier 1) ,NO,23,0,Better Prospects,0.3,0.3,Online,NJ-16,NJ-16,0,4,5,2,2,3.3,4,2,4,4,2,2,4,5,3,5,4,4,4,4,3,4,4,4,3.47,3.83,3.65,NO,NA,NO,2
